Season,Game_ID,Game_Date,Team,Location,Wins_Entering_Gm,Losses_Entering_Gm,Team_Minutes,Final_Score,Lead_Changes,Ties,Largest_Lead,Full_Timeouts,Short_Timeouts,Qtr_4_Score,L2M_Score,Social Following (Combined Facebook and Twitter,Combined Social Following,Even Combined Social Followings (Missing first)
2016-17,21600376,12/14/2016,ORL,H,11,15,240,108,2,5,5,5,3,87,98,4.15,23.91,38.84
2016-17,21600377,12/14/2016,MIA,H,8,17,240,95,7,5,7,3,2,78,92,19.76,23.85,4.61
2016-17,21600377,12/14/2016,IND,A,13,12,240,89,7,4,7,5,1,79,89,4.09,31.14,5
2016-17,21600378,12/14/2016,LAL,A,10,17,,,,,,,,,,27.05,30.52,8.88
2016-17,21600378,12/14/2016,BKN,H,6,17,,,,,,,,,,3.47,12.07,4.39
2016-17,21600379,12/14/2016,CLE,A,18,5,,,,,,,,,,8.6,11.02,6.74
2016-17,21600379,12/14/2016,MEM,H,17,9,,,,,,,,,,2.42,7.37,6.73
2016-17,21600380,12/14/2016,HOU,H,18,7,240,132,1,1,39,2,0,102,127,4.95,7.21,22.37
2016-17,21600380,12/14/2016,SAC,A,9,15,240,98,1,1,3,6,1,67,94,2.26,7.76,18.11
2016-17,21600381,12/14/2016,DAL,H,6,18,240,85,6,5,12,6,2,64,81,5.5,7.92,4.18
2016-17,21600381,12/14/2016,DET,A,13,13,240,95,6,4,12,4,0,60,88,2.42,10.5,4.65
2016-17,21600382,12/14/2016,OKC,A,15,10,,,,,,,,,,8.08,9.74,11.77
2016-17,21600382,12/14/2016,UTA,H,15,10,,,,,,,,,,1.66,12.39,4.98
2016-17,21600383,12/14/2016,BOS,A,13,11,240,101,3,3,4,4,2,73,95,10.73,19.25,16.08
2016-17,21600383,12/14/2016,SAS,H,19,5,240,108,4,0,15,4,1,77,102,8.52,30.14,6.91
2016-17,21600384,12/15/2016,CHI,A,13,11,240,97,0,0,0,5,1,66,95,21.62,23.54,15.99
2016-17,21600384,12/15/2016,MIL,H,11,12,240,108,0,0,27,4,1,88,105,1.92,4.06,12.42
2016-17,21600385,12/15/2016,NOP,H,8,18,240,102,5,6,10,5,0,71,95,2.14,6.23,35.67
2016-17,21600385,12/15/2016,IND,A,13,13,240,95,5,5,8,6,0,74,90,4.09,6.57,12.4
2016-17,21600386,12/15/2016,DEN,H,9,16,240,132,0,0,25,5,1,100,124,2.48,5.5,13.45
2016-17,21600386,12/15/2016,POR,A,13,14,240,120,0,0,0,4,1,85,113,3.02,5.48,8.35
2016-17,21600387,12/15/2016,PHX,H,8,17,240,92,4,2,7,5,0,71,85,2.46,10.98,4.26
2016-17,21600387,12/15/2016,SAS,A,20,5,240,107,5,2,19,3,2,74,103,8.52,20.06,4.93
2016-17,21600388,12/15/2016,GSW,H,22,4,240,103,2,1,25,4,1,88,98,11.54,19.15,4.85
2016-17,21600388,12/15/2016,NYK,A,14,11,240,90,1,0,2,4,1,66,86,7.61,9.66,22.42
2016-17,21600389,12/16/2016,WAS,H,10,14,240,122,6,2,24,5,0,95,116,2.05,4.47,8.27
2016-17,21600389,12/16/2016,DET,A,14,13,240,108,5,3,5,3,2,77,103,2.42,5.89,11.74
2016-17,21600390,12/16/2016,BKN,A,7,17,240,111,7,6,9,5,1,82,106,3.47,7.62,24.73
2016-17,21600390,12/16/2016,ORL,H,11,16,240,118,8,9,9,4,2,83,110,4.15,14.88,5.95
2016-17,21600391,12/16/2016,BOS,H,13,12,,,,,,,,,,10.73,13.04,9.6
2016-17,21600391,12/16/2016,CHA,A,14,12,,,,,,,,,,2.31,4.55,8.88
2016-17,21600392,12/16/2016,ATL,A,12,13,240,125,4,0,19,5,1,95,121,2.24,5.15,11.61
2016-17,21600392,12/16/2016,TOR,H,18,7,240,121,4,5,2,6,2,82,115,2.91,24.53,14.46
2016-17,21600393,12/16/2016,CHI,H,13,12,240,69,0,0,2,5,1,52,67,21.62,23.54,5.67
2016-17,21600393,12/16/2016,MIL,A,12,12,240,95,1,2,30,3,0,74,95,1.92,4.18,5.06
2016-17,21600394,12/16/2016,SAC,A,9,16,,,,,,,,,,2.26,4.68,30.35
2016-17,21600394,12/16/2016,MEM,H,18,9,,,,,,,,,,2.42,4.56,22.02
2016-17,21600395,12/16/2016,NOP,A,9,18,240,100,1,2,4,4,0,79,98,2.14,7.09,5.13
2016-17,21600395,12/16/2016,HOU,H,19,7,240,122,2,1,24,4,0,97,114,4.95,32,4.01
2016-17,21600396,12/16/2016,LAL,A,10,18,,,,,,,,,,27.05,29.28,5.83
2016-17,21600396,12/16/2016,PHI,H,6,19,,,,,,,,,,2.23,7.05,12.82
2016-17,21600397,12/16/2016,LAC,A,19,7,240,102,4,2,16,5,2,79,93,4.82,24.58,36.01
2016-17,21600397,12/16/2016,MIA,H,9,17,240,98,3,2,4,5,2,69,87,19.76,25.26,13.42
2016-17,21600398,12/16/2016,DAL,A,6,19,240,100,3,6,3,6,2,77,96,5.5,7.16,7.78
2016-17,21600398,12/16/2016,UTA,H,16,10,240,103,3,2,15,5,1,90,100,1.66,4.12,6.64
2016-17,21600399,12/17/2016,PHX,A,8,18,240,101,0,1,2,6,0,69,96,2.46,10.54,19.51
2016-17,21600399,12/17/2016,OKC,H,15,11,240,114,1,1,22,4,1,89,112,8.08,12.17,7.47
2016-17,21600400,12/17/2016,IND,A,13,14,240,105,1,2,21,4,1,83,101,4.09,6.51,14.19
2016-17,21600400,12/17/2016,DET,H,14,14,240,90,1,0,9,5,1,69,85,2.42,4.66,23.5
2016-17,21600401,12/17/2016,ATL,H,13,13,240,99,3,1,8,5,1,74,95,2.24,4.55,10.41
2016-17,21600401,12/17/2016,CHA,A,14,13,240,107,4,1,16,4,1,80,99,2.31,10.91,11.74
2016-17,21600402,12/17/2016,CLE,H,18,6,240,119,1,1,12,4,0,89,113,8.6,35.65,29.87
2016-17,21600402,12/17/2016,LAL,A,11,18,240,108,1,1,8,5,2,83,105,27.05,32,16.21
2016-17,21600403,12/17/2016,HOU,A,20,7,265,111,6,6,6,5,3,67,84,4.95,7.29,4.7
2016-17,21600403,12/17/2016,MIN,H,7,18,265,109,5,3,17,7,3,80,93,2.34,4.82,6.34
2016-17,21600404,12/17/2016,DEN,H,10,16,240,127,0,0,21,4,0,96,121,2.48,10.09,4.9
2016-17,21600404,12/17/2016,NYK,A,14,12,240,114,0,0,0,5,1,80,105,7.61,19.15,24.93
2016-17,21600405,12/17/2016,GSW,H,23,4,240,135,0,0,46,4,1,108,129,11.54,14.56,7.39
2016-17,21600405,12/17/2016,POR,A,13,15,240,90,0,0,0,4,0,72,89,3.02,7.84,6.25
2016-17,21600406,12/18/2016,LAC,A,20,7,240,110,6,8,11,5,1,87,106,4.82,6.87,22.37
2016-17,21600406,12/18/2016,WAS,H,11,14,240,117,6,8,8,4,3,85,110,2.05,3.71,12.82
2016-17,21600407,12/18/2016,UTA,A,17,10,240,82,7,8,12,4,0,61,75,1.66,4.08,7.96
2016-17,21600407,12/18/2016,MEM,H,18,10,240,73,7,7,4,5,2,58,68,2.42,5.89,22.93
2016-17,21600408,12/18/2016,BKN,A,7,18,,,,,,,,,,3.47,5.7,9.95
2016-17,21600408,12/18/2016,PHI,H,6,20,,,,,,,,,,2.23,6.38,12.78
2016-17,21600409,12/18/2016,ORL,H,12,16,240,79,1,4,11,6,2,64,73,4.15,7.06,24.78
2016-17,21600409,12/18/2016,TOR,A,18,8,240,109,1,2,35,3,0,84,105,2.91,13.64,17.06
2016-17,21600410,12/18/2016,BOS,A,14,12,,,,,,,,,,10.73,30.49,5.91
2016-17,21600410,12/18/2016,MIA,H,9,18,,,,,,,,,,19.76,25.26,4.65
2016-17,21600411,12/18/2016,DAL,H,6,20,240,99,0,0,20,5,1,76,94,5.5,7.76,11.39
2016-17,21600411,12/18/2016,SAC,A,10,16,240,79,0,2,0,3,0,58,77,2.26,4.4,4.82
2016-17,21600412,12/18/2016,NOP,A,9,19,240,100,5,1,3,5,0,71,94,2.14,10.66,6.06
2016-17,21600412,12/18/2016,SAS,H,21,5,240,113,5,3,24,4,1,92,108,8.52,12.61,24.21
2016-17,21600413,12/19/2016,IND,H,14,14,240,107,3,3,9,5,2,88,105,4.09,6.14,4.58
2016-17,21600413,12/19/2016,WAS,A,12,14,240,105,2,3,11,5,0,79,98,2.05,23.67,13.41
2016-17,21600414,12/19/2016,CHI,H,13,13,240,113,0,0,38,4,0,97,111,21.62,24.04,16.73
2016-17,21600414,12/19/2016,DET,A,14,15,240,82,0,0,0,4,1,63,80,2.42,4.66,16.24
2016-17,21600415,12/19/2016,ATL,A,13,14,240,110,8,4,10,5,0,81,104,2.24,10.32,6.73
2016-17,21600415,12/19/2016,OKC,H,16,11,240,108,8,9,8,5,3,78,106,8.08,10.42,4.85
2016-17,21600416,12/19/2016,MIN,H,7,19,240,115,1,2,14,4,0,91,113,2.34,4.8,5.67
2016-17,21600416,12/19/2016,PHX,A,8,19,240,108,0,0,6,6,1,87,105,2.46,7.96,25.71
2016-17,21600417,12/19/2016,DAL,A,7,20,240,107,6,1,16,6,2,85,101,5.5,7.98,12.71
2016-17,21600417,12/19/2016,DEN,H,11,16,240,117,7,4,13,6,1,93,113,2.48,4.62,30.22
2016-17,21600418,12/20/2016,NOP,A,9,20,240,108,1,1,18,4,1,84,100,2.14,4.37,13.45
2016-17,21600418,12/20/2016,PHI,H,7,20,240,93,1,1,10,4,3,69,88,2.23,29.28,14.46
2016-17,21600419,12/20/2016,LAL,A,11,19,240,113,4,2,19,6,2,96,113,27.05,29.36,13.42
2016-17,21600419,12/20/2016,CHA,H,15,13,240,117,4,3,5,6,2,94,113,2.31,5.78,5.8
2016-17,21600420,12/20/2016,BKN,A,7,19,240,104,0,1,0,4,0,72,98,3.47,6.38,5.58
2016-17,21600420,12/20/2016,TOR,H,19,8,240,116,0,0,23,4,0,91,113,2.91,10.52,8.24
2016-17,21600421,12/20/2016,NYK,H,14,13,240,118,3,3,9,4,0,84,114,7.61,11.7,4.78
2016-17,21600421,12/20/2016,IND,A,15,14,240,111,3,2,15,5,2,87,107,4.09,23.85,25.33
2016-17,21600422,12/20/2016,MIA,H,9,19,290,130,13,6,12,7,5,89,105,19.76,23.91,5.01
2016-17,21600422,12/20/2016,ORL,A,12,17,290,136,14,4,8,6,5,85,103,4.15,12.75,4.93
2016-17,21600423,12/20/2016,CLE,A,19,6,265,114,6,4,18,5,4,84,100,8.6,10.52,30.42
2016-17,21600423,12/20/2016,MIL,H,13,12,265,108,5,2,4,6,3,78,93,1.92,12.65,17.1
2016-17,21600424,12/20/2016,BOS,A,15,12,265,112,5,6,6,6,5,62,92,10.73,13.15,7.47
2016-17,21600424,12/20/2016,MEM,H,18,11,265,109,5,5,17,6,4,71,92,2.42,7.37,16.08
2016-17,21600425,12/20/2016,HOU,H,21,7,240,100,4,8,13,5,1,78,98,4.95,13.47,6.34
2016-17,21600425,12/20/2016,SAS,A,22,5,240,102,4,4,10,5,1,71,94,8.52,11,33.35
2016-17,21600426,12/20/2016,DEN,A,12,16,240,102,0,0,0,4,2,72,96,2.48,7.3,7.41
2016-17,21600426,12/20/2016,LAC,H,20,8,240,119,0,0,29,4,1,95,119,4.82,16.36,4.95
2016-17,21600427,12/20/2016,GSW,H,24,4,,,,,,,,,,11.54,13.2,7.61
2016-17,21600427,12/20/2016,UTA,A,18,10,,,,,,,,,,1.66,4.68,18.11
2016-17,21600428,12/20/2016,POR,A,13,16,,,,,,,,,,3.02,5.28,18.65
2016-17,21600428,12/20/2016,SAC,H,10,17,,,,,,,,,,2.26,10.86,4.96
2016-17,21600429,12/21/2016,CLE,H,20,6,240,113,1,1,21,5,1,92,112,8.6,10.52,4.54
2016-17,21600429,12/21/2016,MIL,A,13,13,240,102,0,1,2,3,0,77,97,1.92,4.16,6.73
2016-17,21600430,12/21/2016,ATL,H,14,14,240,84,6,6,5,5,2,69,82,2.24,4.58,14.4
2016-17,21600430,12/21/2016,MIN,A,8,19,240,92,6,3,11,3,1,67,88,2.34,4.76,24.93
2016-17,21600431,12/21/2016,MEM,A,18,12,240,98,4,0,18,4,0,79,93,2.42,4.84,3.81
2016-17,21600431,12/21/2016,DET,H,14,16,240,86,4,1,3,5,0,63,83,2.42,24.04,37.07
2016-17,21600432,12/21/2016,CHI,H,14,13,240,97,8,5,13,5,2,77,93,21.62,23.67,8.16
2016-17,21600432,12/21/2016,WAS,A,12,15,240,107,9,6,10,5,0,77,101,2.05,4.19,22.47
2016-17,21600433,12/21/2016,NOP,H,10,20,240,110,6,1,3,5,0,84,105,2.14,10.22,6.09
2016-17,21600433,12/21/2016,OKC,A,16,12,240,121,7,4,16,4,2,87,116,8.08,10.34,14.18
2016-17,21600434,12/21/2016,SAC,A,11,17,240,94,1,2,4,5,0,62,86,2.26,3.92,4.82
2016-17,21600434,12/21/2016,UTA,H,18,11,240,93,1,1,20,5,2,73,88,1.66,6.61,6.74
2016-17,21600435,12/21/2016,HOU,A,21,8,240,125,1,0,20,3,0,91,124,4.95,7.41,10.25
2016-17,21600435,12/21/2016,PHX,H,8,20,240,111,1,1,2,6,0,84,109,2.46,7.96,24.17
2016-17,21600436,12/21/2016,DAL,A,7,21,240,96,1,0,25,5,2,81,92,5.5,8.52,7.96
2016-17,21600436,12/21/2016,POR,H,13,17,240,95,0,0,2,5,2,71,91,3.02,14.56,32.59
2016-17,21600437,12/22/2016,GSW,A,25,4,240,117,6,3,18,5,2,88,112,11.54,15.01,7.81
2016-17,21600437,12/22/2016,BKN,H,7,20,240,101,6,1,16,4,1,84,96,3.47,11.08,17.21
2016-17,21600438,12/22/2016,NYK,H,15,13,,,,,,,,,,7.61,11.76,37.03
2016-17,21600438,12/22/2016,ORL,A,13,17,,,,,,,,,,4.15,31.2,4.65
2016-17,21600439,12/22/2016,LAL,A,11,20,240,107,3,4,19,4,3,80,104,27.05,46.81,5.09
2016-17,21600439,12/22/2016,MIA,H,9,20,240,115,4,1,8,4,1,82,108,19.76,30.49,3.9
2016-17,21600440,12/22/2016,BOS,A,16,12,240,109,3,2,17,4,2,77,98,10.73,14.82,6.55
2016-17,21600440,12/22/2016,IND,H,15,15,240,102,3,2,9,5,3,67,90,4.09,8.91,13.55
2016-17,21600441,12/22/2016,LAC,H,21,8,240,106,1,1,14,4,1,81,100,4.82,13.34,11.5
2016-17,21600441,12/22/2016,SAS,A,23,5,240,101,0,3,6,4,1,73,89,8.52,30.14,7.39
2016-17,21600442,12/23/2016,CHI,A,14,14,240,91,2,1,8,4,2,67,84,21.62,23.93,11.23
2016-17,21600442,12/23/2016,CHA,H,16,13,240,103,2,0,14,4,1,75,92,2.31,29.36,16.08
2016-17,21600443,12/23/2016,LAL,A,11,21,240,90,0,0,0,5,1,69,88,27.05,31.2,12.31
2016-17,21600443,12/23/2016,ORL,H,13,18,240,109,0,0,25,5,2,86,109,4.15,12.75,13.52
2016-17,21600444,12/23/2016,CLE,H,21,6,,,,,,,,,,8.6,12.07,9.56
2016-17,21600444,12/23/2016,BKN,A,7,21,,,,,,,,,,3.47,14.2,25.68
2016-17,21600445,12/23/2016,BOS,H,17,12,,,,,,,,,,10.73,18.81,4.85
2016-17,21600445,12/23/2016,OKC,A,17,12,,,,,,,,,,8.08,19.62,15.82
2016-17,21600446,12/23/2016,GSW,A,26,4,240,119,9,3,8,4,1,88,107,11.54,13.96,5.7
2016-17,21600446,12/23/2016,DET,H,14,17,240,113,9,7,6,5,1,84,108,2.42,4.34,24.89
2016-17,21600447,12/23/2016,MIL,H,13,14,240,123,2,1,31,4,0,100,119,1.92,3.97,5.13
2016-17,21600447,12/23/2016,WAS,A,13,15,240,96,2,3,3,5,1,78,90,2.05,7,11.01
2016-17,21600448,12/23/2016,HOU,A,22,8,,,,,,,,,,4.95,7.37,30.24
2016-17,21600448,12/23/2016,MEM,H,19,12,,,,,,,,,,2.42,4.56,12.09
2016-17,21600449,12/23/2016,NOP,H,10,21,240,91,5,2,5,6,1,64,81,2.14,21.9,5.52
2016-17,21600449,12/23/2016,MIA,A,10,20,240,87,4,3,14,5,2,68,81,19.76,22.1,8.21
2016-17,21600450,12/23/2016,MIN,H,9,19,240,105,10,9,9,5,1,85,103,2.34,4.6,22.37
2016-17,21600450,12/23/2016,SAC,A,12,17,240,109,10,7,6,4,1,78,106,2.26,4.5,4.61
2016-17,21600451,12/23/2016,ATL,A,14,15,240,109,5,5,4,5,1,82,100,2.24,4.72,4.78
2016-17,21600451,12/23/2016,DEN,H,12,17,240,108,5,6,10,5,2,82,106,2.48,5.39,21.28
2016-17,21600452,12/23/2016,TOR,A,20,8,240,104,5,3,11,5,2,72,100,2.91,4.57,13.41
2016-17,21600452,12/23/2016,UTA,H,18,12,240,98,5,3,5,5,2,74,93,1.66,3.89,4.21
2016-17,21600453,12/23/2016,PHI,A,7,21,,,,,,,,,,2.23,4.69,10.33
2016-17,21600453,12/23/2016,PHX,H,8,21,,,,,,,,,,2.46,5.48,5.93
2016-17,21600454,12/23/2016,POR,H,13,18,,,,,,,,,,3.02,11.54,36.01
2016-17,21600454,12/23/2016,SAS,A,23,6,,,,,,,,,,8.52,14.02,5.02
2016-17,21600455,12/23/2016,DAL,A,8,21,240,90,6,6,5,5,2,68,84,5.5,10.32,12.42
2016-17,21600455,12/23/2016,LAC,H,22,8,240,88,6,3,8,5,3,72,85,4.82,15.55,10.25
2016-17,21600456,12/25/2016,BOS,A,17,13,240,119,2,2,13,5,2,88,110,10.73,18.34,5.52
2016-17,21600456,12/25/2016,NYK,H,16,13,240,114,2,4,6,5,3,82,104,7.61,16.21,24.21
2016-17,21600457,12/25/2016,CLE,H,22,6,240,109,3,9,2,6,2,80,103,8.6,20.14,7.02
2016-17,21600457,12/25/2016,GSW,A,27,4,240,108,2,2,14,5,2,87,103,11.54,33.16,12.76
2016-17,21600458,12/25/2016,CHI,A,14,15,240,100,1,2,3,6,2,76,99,21.62,30.14,8.24
2016-17,21600458,12/25/2016,SAS,H,24,6,240,119,1,1,20,3,0,87,115,8.52,10.86,5.29
2016-17,21600459,12/25/2016,MIN,A,9,20,,,,,,,,,,2.34,10.42,11.85
2016-17,21600459,12/25/2016,OKC,H,18,12,,,,,,,,,,8.08,12.9,11.46
2016-17,21600460,12/25/2016,LAC,A,22,9,240,102,0,0,11,5,2,74,97,4.82,31.87,38.84
2016-17,21600460,12/25/2016,LAL,H,11,22,240,111,1,2,18,4,1,89,107,27.05,28.97,4.93
2016-17,21600461,12/26/2016,MIL,A,14,14,240,102,7,4,10,6,1,84,98,1.92,3.97,5.43
2016-17,21600461,12/26/2016,WAS,H,13,16,240,107,8,4,6,5,0,82,101,2.05,6.2,30.23
2016-17,21600462,12/26/2016,ORL,H,14,18,240,112,0,0,29,4,1,96,112,4.15,6.57,27.3
2016-17,21600462,12/26/2016,MEM,A,20,12,240,102,0,0,0,5,2,71,97,2.42,5.89,4.98
2016-17,21600463,12/26/2016,BKN,H,7,22,,,,,,,,,,3.47,5.78,7.89
2016-17,21600463,12/26/2016,CHA,A,17,13,,,,,,,,,,2.31,10.91,11.66
2016-17,21600464,12/26/2016,CLE,A,23,6,240,90,0,1,0,5,1,64,84,8.6,11.02,6.7
2016-17,21600464,12/26/2016,DET,H,14,18,240,106,0,0,21,4,1,76,103,2.42,24.04,6.7
2016-17,21600465,12/26/2016,CHI,H,14,16,240,90,1,1,16,4,1,63,82,21.62,25.71,21.53
2016-17,21600465,12/26/2016,IND,A,15,16,240,85,0,1,2,5,2,61,80,4.09,6.23,13.62
2016-17,21600466,12/26/2016,NOP,H,11,21,240,111,2,2,11,5,0,85,101,2.14,7.64,6.38
2016-17,21600466,12/26/2016,DAL,A,9,21,240,104,2,3,4,6,1,77,96,5.5,10.45,4.16
2016-17,21600467,12/26/2016,HOU,H,22,9,240,131,0,0,34,5,0,107,129,4.95,7.41,14.96
2016-17,21600467,12/26/2016,PHX,A,9,21,240,115,0,1,0,3,0,80,111,2.46,4.7,30.07
2016-17,21600468,12/26/2016,ATL,A,15,15,240,90,2,1,5,4,0,65,83,2.24,4.58,4.45
2016-17,21600468,12/26/2016,MIN,H,9,21,240,104,3,4,29,4,0,89,102,2.34,5.36,12.09
2016-17,21600469,12/26/2016,POR,H,13,19,240,91,4,3,6,5,2,68,86,3.02,5.93,30.23
2016-17,21600469,12/26/2016,TOR,A,21,8,240,95,5,6,6,5,0,73,91,2.91,5.39,16.18
2016-17,21600470,12/26/2016,DEN,A,12,18,240,106,7,5,17,5,0,79,98,2.48,7.3,24.86
2016-17,21600470,12/26/2016,LAC,H,22,10,240,102,6,9,7,5,2,77,95,4.82,7.05,6.06
2016-17,21600471,12/26/2016,PHI,A,7,22,240,100,5,3,8,5,2,77,95,2.23,4.49,6.62
2016-17,21600471,12/26/2016,SAC,H,13,17,240,102,5,4,11,4,2,70,93,2.26,12.99,14.57
2016-17,21600472,12/27/2016,BOS,H,18,13,240,113,4,4,13,3,1,84,105,10.73,13.15,4.96
2016-17,21600472,12/27/2016,MEM,A,20,13,240,103,4,2,2,6,1,77,101,2.42,22.18,4.01
2016-17,21600473,12/27/2016,MIA,H,10,21,240,94,0,2,4,4,1,69,92,19.76,27.84,15.99
2016-17,21600473,12/27/2016,OKC,A,19,12,240,106,1,2,22,5,0,87,105,8.08,13.58,12.42
2016-17,21600474,12/27/2016,DAL,H,9,22,240,107,1,3,3,6,2,74,101,5.5,10.45,33.53
2016-17,21600474,12/27/2016,HOU,A,23,9,240,123,1,1,29,3,0,98,120,4.95,32,4.74
2016-17,21600475,12/27/2016,LAL,H,12,22,,,,,,,,,,27.05,28.71,26.57
2016-17,21600475,12/27/2016,UTA,A,18,13,,,,,,,,,,1.66,5.75,6.03
2016-17,21600476,12/28/2016,IND,A,15,17,,,,,,,,,,4.09,6.14,22.39
2016-17,21600476,12/28/2016,WAS,H,14,16,,,,,,,,,,2.05,6.2,9.9
2016-17,21600477,12/28/2016,ORL,H,15,18,240,101,2,4,2,5,2,68,90,4.15,6.46,5.63
2016-17,21600477,12/28/2016,CHA,A,17,14,240,120,3,1,33,4,1,97,116,2.31,4.55,7.12
2016-17,21600478,12/28/2016,ATL,H,15,16,265,102,8,5,6,6,3,65,83,2.24,9.85,7.42
2016-17,21600478,12/28/2016,NYK,A,16,14,265,98,8,6,8,5,2,66,83,7.61,9.53,6.73
2016-17,21600479,12/28/2016,MIL,A,14,15,240,119,6,0,26,4,0,90,115,1.92,4.34,11.61
2016-17,21600479,12/28/2016,DET,H,15,18,240,94,6,4,3,5,2,75,91,2.42,24.04,4.7
2016-17,21600480,12/28/2016,CHI,H,15,16,240,101,5,9,3,5,1,76,93,21.62,25.09,24.7
2016-17,21600480,12/28/2016,BKN,A,8,22,240,99,4,5,9,5,0,78,97,3.47,5.61,12.79
2016-17,21600481,12/28/2016,NOP,H,12,21,240,102,4,2,10,5,3,76,99,2.14,6.96,7.5
2016-17,21600481,12/28/2016,LAC,A,22,11,240,98,4,3,9,6,2,77,93,4.82,7.28,18.46
2016-17,21600482,12/28/2016,PHX,A,9,22,,,,,,,,,,2.46,10.98,5.57
2016-17,21600482,12/28/2016,SAS,H,25,6,,,,,,,,,,8.52,11,30.42
2016-17,21600483,12/28/2016,DEN,H,13,18,240,105,5,4,11,5,2,81,103,2.48,4.82,6.66
2016-17,21600483,12/28/2016,MIN,A,10,21,240,103,4,6,13,5,1,73,97,2.34,5.36,27.69
2016-17,21600484,12/28/2016,POR,H,13,20,240,102,4,1,20,5,1,75,98,3.02,5.28,6.25
2016-17,21600484,12/28/2016,SAC,A,14,17,240,89,3,2,2,5,0,63,84,2.26,13.8,16.13
2016-17,21600485,12/28/2016,GSW,H,27,5,240,121,0,0,25,6,1,104,116,11.54,14.45,5.88
2016-17,21600485,12/28/2016,TOR,A,22,8,240,111,0,0,0,4,3,87,109,2.91,22.67,13.58
2016-17,21600486,12/29/2016,MIA,A,10,22,240,82,7,3,7,5,2,66,82,19.76,22.07,9.24
2016-17,21600486,12/29/2016,CHA,H,18,14,240,91,8,7,9,4,1,73,86,2.31,10.39,4.54
2016-17,21600487,12/29/2016,OKC,A,20,12,240,80,1,1,1,4,1,61,74,8.08,10.5,11.01
2016-17,21600487,12/29/2016,MEM,H,20,14,240,114,1,1,37,4,1,78,105,2.42,13.15,7.37
2016-17,21600488,12/29/2016,BOS,A,19,13,240,118,3,1,6,5,2,83,112,10.73,19.33,10.38
2016-17,21600488,12/29/2016,CLE,H,23,7,240,124,4,2,20,5,1,101,113,8.6,10.83,4.67
2016-17,21600489,12/29/2016,PHI,A,7,23,240,83,8,1,5,4,2,74,81,2.23,3.89,14.5
2016-17,21600489,12/29/2016,UTA,H,19,13,240,100,8,5,17,4,1,70,95,1.66,4.12,4.5
2016-17,21600490,12/29/2016,PHX,H,9,23,240,99,6,3,14,5,0,76,93,2.46,5.37,23.35
2016-17,21600490,12/29/2016,TOR,A,22,9,240,91,6,6,2,5,0,62,85,2.91,8.41,22.89
2016-17,21600491,12/29/2016,DAL,A,9,23,,,,,,,,,,5.5,32.55,5.03
2016-17,21600491,12/29/2016,LAL,H,12,23,,,,,,,,,,27.05,48.67,8.31
2016-17,21600492,12/30/2016,CHI,A,16,16,240,101,0,2,0,5,2,73,99,21.62,25.71,5.31
2016-17,21600492,12/30/2016,IND,H,15,18,240,111,0,0,14,4,0,84,104,4.09,7.56,4.96
2016-17,21600493,12/30/2016,BKN,A,8,23,240,95,0,2,5,4,1,77,93,3.47,5.52,33.35
2016-17,21600493,12/30/2016,WAS,H,15,16,240,118,1,1,23,4,1,91,115,2.05,12.78,11.38
2016-17,21600494,12/30/2016,BOS,H,19,14,240,117,9,2,8,4,2,82,104,10.73,30.49,24.17
2016-17,21600494,12/30/2016,MIA,A,10,23,240,114,9,10,7,6,1,78,104,19.76,21.9,5.77
2016-17,21600495,12/30/2016,NOP,H,13,21,240,104,1,0,16,4,1,79,99,2.14,9.75,15.62
2016-17,21600495,12/30/2016,NYK,A,16,15,240,92,1,3,3,4,0,69,90,7.61,12.56,30.22
2016-17,21600496,12/30/2016,HOU,H,24,9,,,,,,,,,,4.95,9.77,24.75
2016-17,21600496,12/30/2016,LAC,A,22,12,,,,,,,,,,4.82,6.74,9.09
2016-17,21600497,12/30/2016,MIL,A,15,15,240,99,0,2,0,4,0,71,94,1.92,4.26,4.58
2016-17,21600497,12/30/2016,MIN,H,10,22,240,116,0,0,19,4,1,85,112,2.34,4.58,11.71
2016-17,21600498,12/30/2016,ATL,H,16,16,,,,,,,,,,2.24,4.66,4.59
2016-17,21600498,12/30/2016,DET,A,15,19,,,,,,,,,,2.42,5.44,6.73
2016-17,21600499,12/30/2016,POR,A,14,20,240,94,2,3,13,5,1,73,89,3.02,11.54,6.64
2016-17,21600499,12/30/2016,SAS,H,26,6,240,110,2,1,20,4,0,80,104,8.52,11,30.38
2016-17,21600500,12/30/2016,DEN,H,14,18,240,122,8,12,3,5,2,87,111,2.48,4.71,12.79
2016-17,21600500,12/30/2016,PHI,A,7,24,240,124,9,3,10,5,1,91,114,2.23,7.73,12.78
2016-17,21600501,12/30/2016,DAL,A,10,23,,,,,,,,,,5.5,17.04,12.05
2016-17,21600501,12/30/2016,GSW,H,28,5,,,,,,,,,,11.54,13.8,5.42
2016-17,21600502,12/31/2016,SAC,H,14,18,240,98,3,2,5,4,0,67,93,2.26,4.68,16.08
2016-17,21600502,12/31/2016,MEM,A,21,14,240,112,4,4,22,5,1,82,109,2.42,24.04,7.85
2016-17,21600503,12/31/2016,CHI,H,16,17,240,96,3,4,10,4,1,76,92,21.62,23.54,6.62
2016-17,21600503,12/31/2016,MIL,A,15,16,240,116,4,6,20,4,0,80,107,1.92,6.87,13.47
